City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Erzin,TR,65.64,overcast clouds,36.9559,36.2, 
Vigrestad,NO,58.68,clear sky,58.5667,5.7, 
Kaspiyskiy,RU,54.09,broken clouds,45.3929,47.3707, 
Lagoa,PT,56.48,moderate rain,39.05,-27.9833, 
Sao Joao Da Barra,BR,86.09,overcast clouds,-21.6403,-41.0511, 
Saldanha,ZA,62.4,overcast clouds,-33.0117,17.9442, 
Alausi,EC,54.43,moderate rain,-2.2,-78.8333, 
Fondi,IT,62.82,scattered clouds,41.3541,13.4313, 
Naze,JP,65.05,overcast clouds,28.3667,129.4833, 
Poum,NC,77.58,clear sky,-20.2333,164.0167, 
Lorengau,PG,79.56,broken clouds,-2.0226,147.2712, 
Dondo,MZ,76.51,few clouds,-19.6094,34.7431, 
Kudahuvadhoo,MV,83.95,overcast clouds,2.6708,72.8944, 
Wanning,CN,78.04,few clouds,18.8003,110.3967, 
Beysehir,TR,51.8,clear sky,37.6773,31.7246, 
Port Lincoln,AU,58.62,overcast clouds,-34.7333,135.8667, 
Awjilah,LY,74.5,clear sky,29.1081,21.2869, 
Tubara,CO,90.55,scattered clouds,10.8744,-74.9789, 
Zhanakorgan,KZ,53.6,clear sky,43.9098,67.2495, 
Makariv,UA,55.18,overcast clouds,50.4641,29.8113, 
Kill,IE,55.81,broken clouds,52.1761,-7.335, 
Celestun,MX,85.89,clear sky,20.8667,-90.4, 
Constitucion,CL,65.41,broken clouds,-35.3333,-72.4167, 
Cheran,MX,67.6,overcast clouds,19.6833,-101.95, 
Tuatapere,NZ,48.34,few clouds,-46.1333,167.6833, 
Guerrero Negro,MX,61.63,broken clouds,27.9769,-114.0611, 
Yevlax,AZ,60.78,clear sky,40.6089,47.1492, 
Qui Nhon,VN,79.59,clear sky,13.7667,109.2333, 
Majene,ID,78.4,overcast clouds,-3.5403,118.9707, 
Portland,US,46.29,moderate rain,45.5234,-122.6762, 
Lusaka,ZM,68.25,clear sky,-15.4067,28.2871, 
Eydhafushi,MV,83.64,few clouds,5.1033,73.0708, 
Qusar,AZ,49.78,clear sky,41.4273,48.4289, 
Hayrabolu,TR,51.28,broken clouds,41.2131,27.1069, 
Geraldton,AU,61.21,scattered clouds,-28.7667,114.6, 
Trinidad,BO,78.82,broken clouds,-14.8333,-64.9, 
Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124, 
Santa Rosa,PH,84.18,clear sky,14.3122,121.1114, 
Freeport,US,59.41,scattered clouds,40.6576,-73.5832, 
Beloha,MG,73.4,overcast clouds,-25.1667,45.05, 
Hofn,IS,48.22,fog,64.2539,-15.2082, 
Bocana De Paiwas,NI,89.02,overcast clouds,12.7857,-85.1227, 
Nioro,GM,104.23,scattered clouds,13.35,-15.75, 
Maldonado,UY,58.39,overcast clouds,-34.6667,-54.9167, 
Roald,NO,61.72,clear sky,62.5833,6.1333, 
Ronneby,SE,50.5,clear sky,56.21,15.276, 
Kirakira,SB,77.04,scattered clouds,-10.4544,161.9205, 
Dingle,PH,78.26,few clouds,10.9995,122.6711, 
Paranaiba,BR,72.68,overcast clouds,-19.6772,-51.1908, 
Las Palmas,ES,70.59,few clouds,28.4204,-14.0131, 
Cervo,ES,59.23,clear sky,43.6702,-7.4101, 
Acapulco,MX,85.82,clear sky,16.8634,-99.8901, 
Rocha,UY,53.65,overcast clouds,-34.4833,-54.3333, 
Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627, 
Bani Walid,LY,81.75,scattered clouds,31.7566,13.9942, 
Clarksburg,US,71.71,clear sky,39.2807,-80.3445, 
Kizilskoye,RU,47.95,overcast clouds,52.7255,58.8937, 
Bolobo,CD,82.65,overcast clouds,-2.1667,16.2333, 
Kikwit,CD,80.37,broken clouds,-5.041,18.8162, 
Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485, 
Trincomalee,LK,82.56,clear sky,8.5711,81.2335, 
Pimentel,PE,86.29,broken clouds,-6.8367,-79.9342, 
Copiapo,CL,65.89,clear sky,-27.3667,-70.3333, 
Hasaki,JP,61.21,overcast clouds,35.7333,140.8333, 
Horqueta,PY,76.15,clear sky,-23.3428,-57.0597, 
Takaungu,KE,79.29,scattered clouds,-3.6837,39.8566, 
Alice Springs,AU,51.35,clear sky,-23.7,133.8833, 
Roura,GF,75.11,moderate rain,4.7263,-52.3274, 
Cayenne,GF,75.24,moderate rain,4.9333,-52.3333, 
Mount Gambier,AU,52.99,broken clouds,-37.8333,140.7667, 
Jumla,NP,51.85,overcast clouds,29.2747,82.1838, 
Emerald,AU,62.35,clear sky,-23.5333,148.1667, 
Lexington,US,78.12,clear sky,37.9887,-84.4777, 
Guerande,FR,65.62,clear sky,47.3291,-2.4283, 
Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553, 
Sisophon,KH,84.97,scattered clouds,13.5859,102.9737, 
Quthing,LS,61.05,clear sky,-30.4,27.7003, 
Sumbe,AO,82.42,broken clouds,-11.2061,13.8437, 
Zonguldak,TR,47.61,broken clouds,41.25,31.8333, 
Middleton,GB,58.91,scattered clouds,53.55,-2.2, 
Gagret,IN,66.61,broken clouds,31.6667,76.0667, 
Nishihara,JP,70.88,thunderstorm,26.1842,127.7558, 
Simbahan,PH,82.67,overcast clouds,6.3032,120.5836, 
Jacksonville,US,83.05,broken clouds,30.3322,-81.6556, 
Euclides Da Cunha,BR,94.93,overcast clouds,-10.5075,-39.0158, 
Ocampo,MX,73.99,overcast clouds,21.65,-101.5, 
Shubarkuduk,KZ,50.34,overcast clouds,49.1447,56.4872, 
Kahului,US,73.85,moderate rain,20.8947,-156.47, 
Pekin,CN,67.89,overcast clouds,39.9075,116.3972, 
Norfolk,US,50.79,scattered clouds,42.1668,-71.2495, 
Rosario Oeste,BR,80.91,overcast clouds,-14.8361,-56.4275, 
Port Hardy,CA,40.91,light rain,50.6996,-127.4199, 
Bernalillo,US,70.66,few clouds,35.05,-106.6673, 
Araouane,ML,101.86,overcast clouds,18.9048,-3.5265, 
Sinnamary,GF,80.71,light rain,5.3833,-52.95, 
Rorvik,NO,51.78,clear sky,64.8621,11.2373, 
Kruisfontein,ZA,68.27,overcast clouds,-34.0033,24.7314, 
Price,US,40.12,clear sky,39.5994,-110.8107, 
Cockburn Town,TC,78.48,light rain,21.4612,-71.1419, 
San Andres,CO,87.82,few clouds,12.5847,-81.7006, 
Maarianhamina,AX,48.06,clear sky,60.0973,19.9348, 
Mayo,US,69.35,clear sky,38.8876,-76.5119, 
Imbituba,BR,75.85,clear sky,-28.24,-48.6703, 
Sorong,ID,78.85,broken clouds,-0.8833,131.25, 
Ustye,RU,43.0,clear sky,59.6304,39.736, 
Sabirabad,AZ,57.65,broken clouds,40.0095,48.4752, 
Lubumbashi,CD,64.02,broken clouds,-11.6609,27.4794, 
Yeppoon,AU,67.78,broken clouds,-23.1333,150.7333, 
Menongue,AO,72.18,broken clouds,-14.6585,17.691, 
Joshimath,IN,55.29,overcast clouds,30.5667,79.5667, 
Rosario,AR,75.94,clear sky,-32.9468,-60.6393, 
Sokoto,NG,104.18,overcast clouds,13.0609,5.239, 
Ambon,ID,77.14,few clouds,-3.6954,128.1814, 
Kutum,SD,86.4,clear sky,14.2,24.6667, 
Martinsburg,US,71.28,clear sky,39.4562,-77.9639, 
Gweta,BW,77.2,clear sky,-20.1833,25.2333, 
Dezhou,CN,69.08,clear sky,37.4486,116.2925, 
Port Macquarie,AU,57.88,broken clouds,-31.4333,152.9167, 
Sao Jose Da Coroa Grande,BR,85.44,overcast clouds,-8.8978,-35.1478, 
Tieling,CN,64.72,overcast clouds,42.2931,123.8414, 
Bucerias,MX,78.78,clear sky,20.75,-105.3333, 
Surin,TH,90.91,broken clouds,14.8818,103.4936, 
Road Town,VG,84.29,scattered clouds,18.4167,-64.6167, 
Beira,MZ,77.09,few clouds,-19.8436,34.8389, 
Galle,LK,81.32,few clouds,6.0367,80.217, 
Saint Anthony,US,43.14,overcast clouds,45.0205,-93.218, 
Agucadoura,PT,74.32,clear sky,41.4318,-8.7804, 
Tocopilla,CL,72.09,few clouds,-22.092,-70.1979, 
Gondanglegi,ID,75.69,scattered clouds,-7.7479,112.0132, 
Pringsewu,ID,74.73,broken clouds,-5.3582,104.9744, 
Kungalv,SE,57.45,clear sky,57.871,11.9805, 
Margate,GB,53.31,clear sky,51.3813,1.3862, 
Benguela,AO,84.13,scattered clouds,-12.5763,13.4055, 
Bocaiuva,BR,86.05,broken clouds,-17.1078,-43.815, 
Marsh Harbour,BS,74.89,overcast clouds,26.5412,-77.0636, 
Virbhadra,IN,72.61,overcast clouds,30.0712,78.2819, 
Charters Towers,AU,69.08,clear sky,-20.1,146.2667, 
Karlskrona,SE,50.45,clear sky,56.1616,15.5866, 
Prince Rupert,CA,44.4,few clouds,54.3161,-130.3201, 
Taiyuan,CN,69.66,clear sky,37.8694,112.5603, 
Half Moon Bay,US,57.6,clear sky,37.4636,-122.4286, 
Klaksvik,FO,50.92,scattered clouds,62.2266,-6.589, 
Tazmalt,DZ,74.86,overcast clouds,36.3868,4.3989, 
Hisor,TJ,53.35,scattered clouds,38.525,68.5512, 
Desaguadero,PE,56.93,few clouds,-16.5656,-69.0417, 
Hamilton,US,73.99,clear sky,39.1834,-84.5333, 
Hirara,JP,76.78,overcast clouds,24.8,125.2833, 
Carutapera,BR,78.58,overcast clouds,-1.195,-46.02, 
Raudeberg,NO,52.47,few clouds,61.9875,5.1352, 
Karratha,AU,76.1,broken clouds,-20.7377,116.8463, 
Skjervoy,NO,48.2,light rain,70.0311,20.9714, 
Meulaboh,ID,76.42,moderate rain,4.1363,96.1285, 
Sonoita,MX,72.68,clear sky,31.85,-112.8333, 
Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608, 
Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781, 
Makat,KZ,56.23,overcast clouds,47.6469,53.3463, 
Liverpool,GB,59.61,clear sky,53.4106,-2.9779, 
Pabrade,LT,52.66,overcast clouds,55.0,25.7833, 
Maceio,BR,92.64,scattered clouds,-9.6658,-35.7353, 
Bima,ID,75.2,broken clouds,-8.4667,118.7167, 
Kismayo,SO,83.01,overcast clouds,-0.3582,42.5454, 
Mosquera,CO,66.29,broken clouds,4.7059,-74.2302, 
Rongcheng,CN,66.72,overcast clouds,30.634,117.8517, 
Coronel Vivida,BR,65.88,scattered clouds,-25.9797,-52.5678, 
Buraydah,SA,79.25,clear sky,26.326,43.975, 
Conde,BR,89.06,scattered clouds,-7.2597,-34.9075, 
Eregli,TR,61.59,overcast clouds,37.5133,34.0467, 
Ogbomosho,NG,81.81,moderate rain,8.133,4.25, 
Portage,US,57.61,clear sky,41.1667,-81.1998, 
Aberfeldy,GB,54.48,clear sky,56.62,-3.8645, 
Yilan,TW,79.36,overcast clouds,24.757,121.753, 
Itarema,BR,84.22,light rain,-2.9248,-39.9167, 
Chikwawa,MW,71.55,scattered clouds,-16.0335,34.8009, 
Nelson Bay,AU,64.0,overcast clouds,-32.7167,152.15, 
Cananea,MX,64.87,clear sky,30.95,-110.3, 
La Union,PE,85.44,overcast clouds,-5.4,-80.75, 
Estelle,US,80.01,scattered clouds,29.8458,-90.1067, 
Vila Velha,BR,93.94,few clouds,-20.3297,-40.2925, 
Hirekerur,IN,75.29,clear sky,14.4667,75.3833, 
Srandakan,ID,78.42,scattered clouds,-7.9386,110.2506, 
Lazaro Cardenas,MX,83.17,overcast clouds,17.9583,-102.2, 
Arrecife,ES,73.38,few clouds,28.963,-13.5477, 
Marktoberdorf,DE,42.22,moderate rain,47.7833,10.6167, 
Antofagasta,CL,67.28,scattered clouds,-23.65,-70.4, 
Raymond,US,48.51,broken clouds,43.9015,-70.4703, 
Taiping,MY,76.57,overcast clouds,4.85,100.7333, 
Yarim,YE,60.24,light rain,14.298,44.3779, 
Bassila,BJ,93.69,broken clouds,9.0081,1.6654, 
Santa Fe,AR,76.28,light rain,-31.6333,-60.7, 
Kathmandu,NP,73.83,few clouds,27.7167,85.3167, 
Buzmeyin,TM,60.53,clear sky,38.0507,58.2056, 
Vila,PT,63.7,clear sky,42.0304,-8.1588, 
Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472, 
Tautira,PF,80.85,light rain,-17.7333,-149.15, 
Mpanda,TZ,67.24,scattered clouds,-6.3655,31.0409, 
Rafai,CF,81.05,overcast clouds,4.95,23.9167, 
Port Augusta,AU,56.25,clear sky,-32.5,137.7667, 
